Auction_id,Auction_Desc,round_num,bidder_id,bidder_name,bip_name,bip_desc,bid_rnd_num,net_bid_amt,bid_amt
66,Advanced Wireless Services,161,5411426,"Cellular South Licenses, Inc.",AW-CMA139-A,"Montgomery, AL",81,"1,055,000","1,055,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA140-A,"Charleston, WV",60,"725,000","725,000"
66,Advanced Wireless Services,161,2713683,"Chequamegon Communications Cooperative,",AW-CMA141-A,"Duluth, MN-WI",56,"997,050","1,173,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA136-A,"Lorain-Elyria, OH",23,"349,000","349,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA142-A,"Modesto, CA",72,"2,620,000","2,620,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA137-A,"Melbourne-Titusville, FL",67,"2,657,000","2,657,000"
66,Advanced Wireless Services,161,7024607,"Public Service Wireless Services, Inc.",AW-CMA138-A,"Macon-Warner Robins, GA",54,"364,000","364,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA152-A,"Portland, ME",87,"2,339,000","2,339,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA149-A,"Fayetteville, NC",21,"303,000","303,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA150-A,"Visalia-Tulare-Porterville, CA",67,"1,197,000","1,197,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA151-A,"Poughkeepsie, NY",39,"1,702,000","1,702,000"
66,Advanced Wireless Services,161,7024607,"Public Service Wireless Services, Inc.",AW-CMA153-A,"Columbus, GA-AL",128,"665,000","665,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA164-A,"Fort Myers, FL",59,"1,767,000","1,767,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA160-A,"Killeen-Temple, TX",42,"472,000","472,000"
66,Advanced Wireless Services,161,15031388,Daredevil Communications LLC,AW-CMA161-A,"Lubbock, TX",67,"269,250","359,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA162-A,"Brownsville-Harlingen, TX",74,"427,000","427,000"
66,Advanced Wireless Services,161,14955017,Fidelity Communications Company,AW-CMA163-A,"Springfield, MO",57,"405,450","477,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA171-A,"Reno, NV",79,"734,000","734,000"
66,Advanced Wireless Services,161,15019003,"Barat Wireless, L.P.",AW-CMA172-A,"Lincoln, NE",74,"197,250","263,000"
