Auction_id,Auction_Desc,round_num,bip_name,bip_desc,price,prov_winner,pw_bid_rnd_num,prev_prov_winner,prev_pw_bid_rnd_num
66,Advanced Wireless Services,161,AW-CMA700-A,Washington 8 - Whitman,247000,"Red Rock Spectrum Holdings, LLC",82,"Red Rock Spectrum Holdings, LLC",82
66,Advanced Wireless Services,161,AW-CMA701-A,West Virginia 1 - Mason,46000,American Cellular Corporation,54,American Cellular Corporation,54
66,Advanced Wireless Services,161,AW-CMA702-A,West Virginia 2 - Wetzel,51000,American Cellular Corporation,54,American Cellular Corporation,54
66,Advanced Wireless Services,161,AW-CMA703-A,West Virginia 3 - Monongalia,1606000,American Cellular Corporation,60,American Cellular Corporation,60
66,Advanced Wireless Services,161,AW-CMA704-A,West Virginia 4 - Grant,493000,American Cellular Corporation,62,American Cellular Corporation,62
66,Advanced Wireless Services,161,AW-CMA705-A,West Virginia 5 - Tucker,275000,American Cellular Corporation,71,American Cellular Corporation,71
66,Advanced Wireless Services,161,AW-CMA706-A,West Virginia 6 - Lincoln,100000,American Cellular Corporation,54,American Cellular Corporation,54
66,Advanced Wireless Services,161,AW-CMA707-A,West Virginia 7 - Raleigh,151000,American Cellular Corporation,25,American Cellular Corporation,25
66,Advanced Wireless Services,161,AW-CMA708-A,Wisconsin 1 - Burnett,1407000,"CTC Telcom, Inc.",79,"CTC Telcom, Inc.",79
66,Advanced Wireless Services,161,AW-CMA709-A,Wisconsin 2 - Bayfield,1235000,"Chequamegon Communications Cooperative, Inc.",66,"Chequamegon Communications Cooperative, Inc.",66
66,Advanced Wireless Services,161,AW-CMA710-A,Wisconsin 3 - Vilas,621000,American Cellular Corporation,70,American Cellular Corporation,70
66,Advanced Wireless Services,161,AW-CMA711-A,Wisconsin 4 - Marinette,674000,American Cellular Corporation,55,American Cellular Corporation,55
66,Advanced Wireless Services,161,AW-CMA712-A,Wisconsin 5 - Pierce,748000,"Cricket Licensee (Reauction), Inc.",66,"Cricket Licensee (Reauction), Inc.",66
66,Advanced Wireless Services,161,AW-CMA713-A,Wisconsin 6 - Trempealeau,263000,American Cellular Corporation,51,American Cellular Corporation,51
