auction_id,auction_description,round,item_name,item_description,pwb_amount,net_pwb_amount,pw_bidder,round_of_pwb,previous_pw_bidder,round_of_previous_pwb,previous_pwb_amount,previous_net_pwb_amount
73,700 MHz Band,261,WY-CMA664-B,Texas 13 - Reeves,"45,000","33,750","C&W Enterprises, Inc.",28,Cellco Partnership d/b/a Verizon Wireless,24,"43,000",0
73,700 MHz Band,261,WY-CMA665-B,Texas 14 - Loving,"192,000","192,000","Central Texas Telephone Investments, LP",162,Cellco Partnership d/b/a Verizon Wireless,24,"188,000",0
73,700 MHz Band,261,WY-CMA666-B,Texas 15 - Concho,"995,000","995,000","Central Texas Telephone Investments, LP",26,Cellco Partnership d/b/a Verizon Wireless,25,"904,000",0
73,700 MHz Band,261,WY-CMA667-B,Texas 16 - Burleson,"648,000","486,000",Worldcall Inc.,113,CenturyTel Broadband Wireless LLC,42,"635,000",0
73,700 MHz Band,261,WY-CMA668-B,Texas 17 - Newton,"1,140,000","1,140,000","AT&T Mobility Spectrum, LLC",45,CenturyTel Broadband Wireless LLC,44,"1,097,000",0
73,700 MHz Band,261,WY-CMA669-B,Texas 18 - Edwards,"940,000","940,000",Cellco Partnership d/b/a Verizon Wireless,21,"AT&T Mobility Spectrum, LLC",15,"895,000",0
73,700 MHz Band,261,WY-CMA670-B,Texas 19 - Atascosa,"316,000","316,000",Cellco Partnership d/b/a Verizon Wireless,21,"Cavalier Wireless, LLC",19,"298,000",0
73,700 MHz Band,261,WY-CMA671-B,Texas 20 - Wilson,"260,000","260,000","AT&T Mobility Spectrum, LLC",62,Worldcall Inc.,61,"250,000",0
73,700 MHz Band,261,WY-CMA672-B,Texas 21 - Chambers,"673,000","673,000","AT&T Mobility Spectrum, LLC",32,"Spectrum Acquisitions, Inc.",31,"614,000",0
73,700 MHz Band,261,WY-CMA673-B,Utah 1 - Box Elder,"474,000","474,000",Cellco Partnership d/b/a Verizon Wireless,22,Union Telephone Company,21,"437,000",0
73,700 MHz Band,261,WY-CMA674-B,Utah 2 - Morgan,"997,000","997,000","AT&T Mobility Spectrum, LLC",65,Manti Telephone Company,64,"959,000",0
73,700 MHz Band,261,WY-CMA675-B,Utah 3 - Juab,"400,000","300,000",Manti Telephone Company,36,Cellco Partnership d/b/a Verizon Wireless,24,"392,000",0
73,700 MHz Band,261,WY-CMA676-B,Utah 4 - Beaver,"593,000","593,000",Cellco Partnership d/b/a Verizon Wireless,24,"AT&T Mobility Spectrum, LLC",17,"565,000",0
73,700 MHz Band,261,WY-CMA677-B,Utah 5 - Daggett,"2,133,000","2,133,000",Cellco Partnership d/b/a Verizon Wireless,24,Union Telephone Company,21,"2,023,000",0
73,700 MHz Band,261,WY-CMA678-B,Utah 6 - Piute,"331,000","331,000",Cellco Partnership d/b/a Verizon Wireless,26,"SAL Spectrum, LLC",25,"302,000",0
73,700 MHz Band,261,WY-CMA679-B,Vermont 1 - Franklin,"1,029,000","771,750","King Street Wireless, L.P.",36,"AT&T Mobility Spectrum, LLC",15,"1,009,000",0
73,700 MHz Band,261,WY-CMA680-B,Vermont 2 - Addison,"9,082,000","6,811,500","King Street Wireless, L.P.",24,Cellco Partnership d/b/a Verizon Wireless,23,"8,257,000",0
73,700 MHz Band,261,WY-CMA681-B,Virginia 1 - Lee,0,0,FCC,0,"East Kentucky Network, LLC",22,"1,434,000",0
73,700 MHz Band,261,WY-CMA682-B,Virginia 2 - Tazewell,"519,000","389,250","King Street Wireless, L.P.",21,"AT&T Mobility Spectrum, LLC",20,"476,000",0
73,700 MHz Band,261,WY-CMA683-B,Virginia 3 - Giles,"758,000","568,500","King Street Wireless, L.P.",23,"SAL Spectrum, LLC",22,"657,000",0
73,700 MHz Band,261,WY-CMA684-B,Virginia 4 - Bedford,"462,000","346,500","King Street Wireless, L.P.",22,"AT&T Mobility Spectrum, LLC",21,"403,000",0
73,700 MHz Band,261,WY-CMA685-B,Virginia 5 - Bath,"143,000","107,250","King Street Wireless, L.P.",23,"SAL Spectrum, LLC",22,"131,000",0
73,700 MHz Band,261,WY-CMA686-B,Virginia 6 - Highland,"287,000","215,250","King Street Wireless, L.P.",71,"AWS Spectrum, LLC",70,"276,000",0
73,700 MHz Band,261,WY-CMA687-B,Virginia 7 - Buckingham,"615,000","461,250",Buggs Island Telephone Cooperative,29,"Cavalier Wireless, LLC",28,"535,000",0
73,700 MHz Band,261,WY-CMA688-B,Virginia 8 - Amelia,"252,000","189,000",Buggs Island Telephone Cooperative,222,Buggs Island Telephone Cooperative,221,"239,000",0
73,700 MHz Band,261,WY-CMA689-B,Virginia 9 - Greensville,"265,000","198,750",Buggs Island Telephone Cooperative,117,Buggs Island Telephone Cooperative,116,"253,000",0
73,700 MHz Band,261,WY-CMA690-B,Virginia 10 - Frederick,"645,000","645,000",Cellco Partnership d/b/a Verizon Wireless,21,"Cavalier Wireless, LLC",20,"579,000",0
73,700 MHz Band,261,WY-CMA691-B,Virginia 11 - Madison,"690,000","690,000","AT&T Mobility Spectrum, LLC",31,Cellco Partnership d/b/a Verizon Wireless,26,"657,000",0
73,700 MHz Band,261,WY-CMA692-B,Virginia 12 - Caroline,"619,000","619,000","Cox Wireless, Inc.",145,"Cavalier Wireless, LLC",144,"595,000",0
73,700 MHz Band,261,WY-CMA693-B,Washington 1 - Clallam,"6,529,000","6,529,000","AT&T Mobility Spectrum, LLC",34,Whidbey Telephone Company,33,"5,936,000",0
73,700 MHz Band,261,WY-CMA694-B,Washington 2 - Okanogan,"1,057,000","1,057,000",Cellco Partnership d/b/a Verizon Wireless,26,Whidbey Telephone Company,25,"962,000",0
73,700 MHz Band,261,WY-CMA695-B,Washington 3 - Ferry,"348,000","295,800",Whidbey Telephone Company,37,Cellco Partnership d/b/a Verizon Wireless,26,"341,000",0
73,700 MHz Band,261,WY-CMA696-B,Washington 4 - Grays Harbor,"792,000","673,200",Whidbey Telephone Company,38,Cellco Partnership d/b/a Verizon Wireless,23,"776,000",0
73,700 MHz Band,261,WY-CMA697-B,Washington 5 - Kittitas,"1,448,000","1,448,000",Cellco Partnership d/b/a Verizon Wireless,26,Whidbey Telephone Company,25,"1,322,000",0
73,700 MHz Band,261,WY-CMA698-B,Washington 6 - Pacific,"1,478,000","1,478,000","AT&T Mobility Spectrum, LLC",41,"King Street Wireless, L.P.",40,"1,424,000",0
73,700 MHz Band,261,WY-CMA699-B,Washington 7 - Skamania,"159,000","119,250","King Street Wireless, L.P.",104,Whidbey Telephone Company,103,"154,000",0
73,700 MHz Band,261,WY-CMA700-B,Washington 8 - Whitman,"1,241,000","1,241,000",Cellco Partnership d/b/a Verizon Wireless,24,"King Street Wireless, L.P.",22,"1,165,000",0
73,700 MHz Band,261,WY-CMA701-B,West Virginia 1 - Mason,"174,000","130,500","King Street Wireless, L.P.",23,"SAL Spectrum, LLC",22,"160,000",0
73,700 MHz Band,261,WY-CMA702-B,West Virginia 2 - Wetzel,"150,000","112,500","King Street Wireless, L.P.",20,"SAL Spectrum, LLC",19,"136,000",0
73,700 MHz Band,261,WY-CMA703-B,West Virginia 3 - Monongalia,"511,000","383,250","King Street Wireless, L.P.",14,"SAL Spectrum, LLC",13,"428,000",0
73,700 MHz Band,261,WY-CMA704-B,West Virginia 4 - Grant,"658,000","493,500","King Street Wireless, L.P.",24,Cellco Partnership d/b/a Verizon Wireless,23,"596,000",0
73,700 MHz Band,261,WY-CMA705-B,West Virginia 5 - Tucker,"292,000","219,000","King Street Wireless, L.P.",23,"SAL Spectrum, LLC",22,"268,000",0
73,700 MHz Band,261,WY-CMA706-B,West Virginia 6 - Lincoln,"1,044,000","783,000","King Street Wireless, L.P.",25,"East Kentucky Network, LLC",24,"949,000",0
73,700 MHz Band,261,WY-CMA707-B,West Virginia 7 - Raleigh,"553,000","414,750","King Street Wireless, L.P.",23,"SAL Spectrum, LLC",22,"508,000",0
73,700 MHz Band,261,WY-CMA708-B,Wisconsin 1 - Burnett,"5,043,000","3,782,250","King Street Wireless, L.P.",24,CenturyTel Broadband Wireless LLC,23,"4,588,000",0
73,700 MHz Band,261,WY-CMA709-B,Wisconsin 2 - Bayfield,"3,609,000","2,706,750","King Street Wireless, L.P.",24,CenturyTel Broadband Wireless LLC,23,"3,284,000",0
73,700 MHz Band,261,WY-CMA710-B,Wisconsin 3 - Vilas,"3,704,000","2,778,000","King Street Wireless, L.P.",24,CenturyTel Broadband Wireless LLC,23,"3,367,000",0
73,700 MHz Band,261,WY-CMA711-B,Wisconsin 4 - Marinette,"5,761,000","4,320,750","King Street Wireless, L.P.",100,CenturyTel Broadband Wireless LLC,99,"5,539,000",0
73,700 MHz Band,261,WY-CMA712-B,Wisconsin 5 - Pierce,"7,633,000","7,633,000","AT&T Mobility Spectrum, LLC",27,Cellco Partnership d/b/a Verizon Wireless,26,"6,699,000",0
73,700 MHz Band,261,WY-CMA713-B,Wisconsin 6 - Trempealeau,"6,278,000","4,708,500","King Street Wireless, L.P.",157,CenturyTel Broadband Wireless LLC,146,"6,155,000",0
73,700 MHz Band,261,WY-CMA714-B,Wisconsin 7 - Wood,"7,942,000","7,942,000","AT&T Mobility Spectrum, LLC",27,"King Street Wireless, L.P.",26,"6,925,000",0
73,700 MHz Band,261,WY-CMA715-B,Wisconsin 8 - Vernon,"6,011,000","4,508,250","King Street Wireless, L.P.",81,CenturyTel Broadband Wireless LLC,80,"5,780,000",0
73,700 MHz Band,261,WY-CMA716-B,Wisconsin 9 - Columbia,"21,187,000","21,187,000","AT&T Mobility Spectrum, LLC",34,"King Street Wireless, L.P.",33,"19,267,000",0
73,700 MHz Band,261,WY-CMA717-B,Wisconsin 10 - Door,"2,252,000","1,689,000","King Street Wireless, L.P.",24,Cellco Partnership d/b/a Verizon Wireless,23,"2,035,000",0
73,700 MHz Band,261,WY-CMA718-B,Wyoming 1 - Park,"588,000","588,000",Union Telephone Company,27,Cellco Partnership d/b/a Verizon Wireless,26,"512,000",0
73,700 MHz Band,261,WY-CMA719-B,Wyoming 2 - Sheridan,"1,539,000","1,539,000",Cellco Partnership d/b/a Verizon Wireless,26,Union Telephone Company,25,"1,404,000",0
73,700 MHz Band,261,WY-CMA720-B,Wyoming 3 - Lincoln,"2,027,000","1,520,250",Manti Telephone Company,27,Cellco Partnership d/b/a Verizon Wireless,24,"1,919,000",0
73,700 MHz Band,261,WY-CMA721-B,Wyoming 4 - Niobrara,"1,867,000","1,867,000","AT&T Mobility Spectrum, LLC",27,Cellco Partnership d/b/a Verizon Wireless,26,"1,692,000",0
73,700 MHz Band,261,WY-CMA722-B,Wyoming 5 - Converse,"94,000","70,500","Great American Broadband, Inc.",53,Union Telephone Company,45,"92,000",0
73,700 MHz Band,261,WY-CMA723-B,Puerto Rico 1 - Rincon,"95,000","71,250",maxima international llc,240,"VentureTel 700, Inc.",239,"86,000",0
73,700 MHz Band,261,WY-CMA724-B,Puerto Rico 2 - Adjuntas,"134,000","100,500","VentureTel 700, Inc.",112,Worldcall Inc.,111,"129,000",0
73,700 MHz Band,261,WY-CMA725-B,Puerto Rico 3 - Ciales,"38,000","28,500","VentureTel 700, Inc.",50,Neptuno Media,49,"37,000",0
73,700 MHz Band,261,WY-CMA726-B,Puerto Rico 4 - Aibonito,"134,000","100,500",Worldcall Inc.,113,"VentureTel 700, Inc.",112,"129,000",0
73,700 MHz Band,261,WY-CMA727-B,Puerto Rico 5 - Ceiba,"112,000","84,000",Worldcall Inc.,109,"Puerto Rico Telephone Company, Inc.",89,"110,000",0
73,700 MHz Band,261,WY-CMA728-B,Puerto Rico 6 - Vieques,"91,000","68,250","Dragon Arch, Inc.",260,Worldcall Inc.,259,"83,000",0
